Accession	Target of assay	Filename	Date released	Date submitted
ENCSR577YCO	ARHGAP35	ENCFF639APT	2022-03-28	2022-01-27
ENCSR678KUJ	ZFP91	ENCFF216KLB	2022-03-28	2022-01-27
ENCSR448RAP	ZNF552	ENCFF963QEL	2022-03-28	2022-01-27
ENCSR204ALX	ZNF431	ENCFF353STA	2022-03-28	2022-01-27
ENCSR154YWK	ZNF558	ENCFF623HZY	2022-03-28	2022-01-26
ENCSR401VBM	ZHX2	ENCFF226FPR	2022-03-28	2022-01-26
ENCSR159RBE	GLYR1	ENCFF270ONC	2022-03-28	2022-01-04
ENCSR015LYB	HIC2	ENCFF642BLI	2022-03-28	2022-01-04
ENCSR066EWR	ZMYM2	ENCFF743CDY	2022-01-13	2021-12-17
ENCSR347HAM	ZNF221	ENCFF120BVS	2022-01-13	2021-10-22
ENCSR903JFF	ZNF605	ENCFF856AHX	2022-01-13	2021-10-22
ENCSR631JFU	IRF9	ENCFF141IMM	2022-01-13	2021-10-22
ENCSR905BNO	ZNF816	ENCFF994VNA	2022-01-13	2021-10-22
ENCSR268XPQ	TCF12	ENCFF651OAU	2022-01-13	2021-10-22
ENCSR170AMG	FOXC1	ENCFF942JZO	2022-01-13	2021-10-22
ENCSR567IOQ	GLMP	ENCFF745JFN	2021-08-13	2021-06-29
ENCSR414WBQ	NFIB	ENCFF127ZZG	2021-08-13	2021-06-29
ENCSR618END	ZNF430	ENCFF632NSF	2021-08-13	2021-06-02
ENCSR488ZNK	ZNF646	ENCFF496HIK	2021-08-13	2021-06-02
ENCSR784BVD	MYC	ENCFF239IMY	2021-08-13	2021-06-02
ENCSR802UCW	MLXIP	ENCFF780JTP	2021-08-13	2021-06-02
ENCSR767NGL	FOSL1	ENCFF497SIC	2021-08-13	2021-06-02
ENCSR513YMV	ELK4	ENCFF890ZHY	2021-08-13	2021-06-02
ENCSR516SMM	SRF	ENCFF316WFA	2022-02-08	2021-06-02
ENCSR681KXT	ZNF329	ENCFF731RBX	2021-08-13	2021-06-02
ENCSR574YRZ	ZSCAN12	ENCFF594DAV	2021-08-13	2021-06-02
ENCSR658UQD	ZUFSP	ENCFF594JNI	2021-08-13	2021-06-02
ENCSR830LDY	MEIS2	ENCFF647OBG	2021-08-13	2021-06-02
ENCSR756CJS	ZNF850	ENCFF331QMY	2021-08-13	2021-06-02
ENCSR695WOH	MEIS1	ENCFF546OSE	2021-08-13	2021-06-02
ENCSR891KPP	ZNF865	ENCFF060MHX	2021-08-13	2021-06-02
ENCSR605KVV	ZNF251	ENCFF878TPY	2021-08-13	2021-06-02
ENCSR710EFA	TEAD2	ENCFF680JFD	2021-08-13	2021-06-02
ENCSR130NZQ	PRDM4	ENCFF666ISN	2021-08-13	2021-06-02
ENCSR623RFC	SP110	ENCFF342ETP	2021-04-22	2021-03-12
ENCSR983FBD	NFE2	ENCFF306ZFX	2020-07-09	2020-05-05
ENCSR463DPV	AFF4	ENCFF026PPP	2020-07-09	2020-05-05
ENCSR944LSA	DBP	ENCFF544WSX	2020-07-08	2020-05-02
ENCSR673GDQ	ZNF441	ENCFF924VAH	2021-02-25	2020-05-02
ENCSR013DKM	ZNF530	ENCFF468WZL	2020-06-30	2020-05-01
ENCSR164YJZ	NFKB2	ENCFF687TJX	2020-07-08	2020-05-01
ENCSR321OAA	FOXO1	ENCFF331BSI	2020-07-09	2020-05-01
ENCSR755ZAY	ZNF740	ENCFF854KWX	2020-07-08	2020-05-01
ENCSR756SZU	KLF13	ENCFF494FXL	2020-08-17	2020-04-22
ENCSR910MUD	ZNF138	ENCFF389YCG	2020-07-01	2020-04-22
ENCSR730DZO	ARID5B	ENCFF477OUI	2020-07-09	2020-04-22
ENCSR603BJQ	FOXK1	ENCFF605GXY	2020-07-09	2020-04-22
