Accession	Target of assay	Filename	Date released	Date submitted
ENCSR208VNN	IFI16	ENCFF518SJY	2022-03-07	2021-12-16
ENCSR576AMK	PPARD	ENCFF893YKY	2022-01-05	2021-10-07
ENCSR567NTZ	TCF15	ENCFF415MKA	2022-01-05	2021-09-29
ENCSR077TKJ	ZNF707	ENCFF959ZKZ	2022-01-05	2021-09-29
ENCSR849LXI	MTF1	ENCFF478MAJ	2021-11-08	2021-09-21
ENCSR763FNU	CGGBP1	ENCFF771XZZ	2021-06-10	2021-03-22
ENCSR415NNQ	THAP12	ENCFF206LMB	2021-06-10	2021-03-22
ENCSR125YGM	ID3	ENCFF794SCQ	2021-03-31	2021-02-19
ENCSR775NLJ	CHCHD3	ENCFF645IVF	2022-03-07	2021-02-17
ENCSR663NFC	STAT5B	ENCFF122FTW	2021-03-31	2021-02-10
ENCSR008DOU	SNAPC5	ENCFF656THP	2021-03-31	2021-02-10
ENCSR109SJT	SMAD4	ENCFF232ZHD	2021-04-16	2020-11-12
ENCSR214EKV	ZNF281	ENCFF648ORA	2021-03-31	2020-10-23
ENCSR017EJY	DLX4	ENCFF832DBU	2021-01-06	2020-10-12
ENCSR121SPB	KLF10	ENCFF142ZTD	2021-01-06	2020-10-12
ENCSR844JVU	TCFL5	ENCFF410SWS	2021-01-06	2020-10-09
ENCSR492FKD	ZNF257	ENCFF738IQL	2021-01-06	2020-10-07
ENCSR444MSK	RFX7	ENCFF774NZZ	2021-05-18	2020-09-08
ENCSR271RRH	ZNF253	ENCFF019NGO	2021-02-11	2020-09-08
ENCSR775FSH	ZNF280B	ENCFF253UAF	2021-05-18	2020-05-18
ENCSR549PVK	PATZ1	ENCFF743JJF	2020-10-07	2020-05-18
ENCSR034GHQ	HMG20B	ENCFF099OSI	2021-05-18	2020-05-01
ENCSR744JJU	MYC	ENCFF114VAI	2021-05-18	2020-04-14
ENCSR059BWP	PHTF2	ENCFF130WQT	2021-05-18	2020-03-27
ENCSR551KXD	RHOXF2B	ENCFF727JXN	2021-05-18	2020-03-26
ENCSR740XMB	RBPJ	ENCFF691JZW	2021-05-18	2020-03-26
ENCSR879HUU	GABPB2	ENCFF103YZQ	2021-05-18	2020-03-26
ENCSR594HXD	ELF2	ENCFF695PDY	2021-05-18	2020-03-26
ENCSR003GUC	E4F1	ENCFF439KTZ	2021-05-18	2020-03-25
ENCSR653WFU	GTF2I	ENCFF866OZW	2021-05-18	2020-03-23
ENCSR214PDW	ZNF780A	ENCFF794OSY	2021-05-18	2020-03-23
ENCSR674WPB	TFAM	ENCFF269PAM	2021-05-18	2020-03-22
ENCSR935PEA	CREB5	ENCFF875JMR	2020-07-20	2020-03-15
ENCSR451UQX	ZNF551	ENCFF913YMX	2021-05-18	2020-03-14
ENCSR597CHL	ZNF518B	ENCFF096AYV	2021-05-18	2020-03-13
ENCSR934RJP	ZNF3	ENCFF798AFV	2021-05-18	2020-03-12
ENCSR360UHC	ARID3B	ENCFF270TSN	2020-08-03	2019-01-17
ENCSR250WFW	RREB1	ENCFF057RJK	2020-08-03	2019-01-17
ENCSR898IDK	ZNF23	ENCFF063VRD	2020-08-03	2019-01-17
ENCSR712KVZ	ZNF324	ENCFF265MQC	2020-08-03	2019-01-17
ENCSR775EQV	ZNF583	ENCFF053ABJ	2020-08-03	2019-01-17
ENCSR036QIR	E2F3	ENCFF710UAZ	2020-08-03	2019-01-17
ENCSR692RET	NR4A1	ENCFF137TCL	2020-08-03	2019-01-16
ENCSR023OOE	ZNF764	ENCFF049MDN	2020-08-03	2019-01-15
ENCSR844MAB	ZNF77	ENCFF809JNC	2020-08-03	2019-01-10
ENCSR987KYK	ZNF717	ENCFF159END	2021-05-18	2019-01-08
ENCSR264LYE	ESRRB	ENCFF106ECV	2020-08-03	2019-01-08
ENCSR568YNC	ZNF655	ENCFF156EZP	2021-05-18	2019-01-08
ENCSR193ZLW	THAP7	ENCFF372YFU	2021-06-10	2019-01-08
ENCSR231PDA	ZNF319	ENCFF873VFI	2020-10-07	2019-01-08
ENCSR172XJS	ZNF165	ENCFF169QYL	2020-08-03	2018-12-22
ENCSR385IUC	TBX18	ENCFF405EGZ	2020-08-03	2018-12-22
ENCSR883UGG	ZNF445	ENCFF416TFM	2020-08-03	2018-12-22
ENCSR958JPH	TSHZ1	ENCFF144ZLB	2020-08-03	2018-12-22
ENCSR376RCX	GMEB1	ENCFF863WFD	2020-08-03	2018-12-22
ENCSR553NTC	ZNF134	ENCFF169AWH	2020-08-03	2018-12-22
ENCSR297CGF	KLF6	ENCFF563ZJM	2020-08-03	2018-12-22
ENCSR619UPN	ZNF133	ENCFF810OHB	2020-08-03	2018-12-22
ENCSR044IXA	ZNF354B	ENCFF712NHB	2020-08-03	2018-12-22
ENCSR947PJZ	HIVEP1	ENCFF449JMB	2020-08-03	2018-12-22
ENCSR164RIC	ZNF444	ENCFF295XCB	2020-08-03	2018-12-22
ENCSR758PLU	ZNF408	ENCFF207MLR	2020-08-03	2018-12-22
ENCSR801JWB	HOMEZ	ENCFF601LMD	2020-08-03	2018-12-22
ENCSR508EEX	ZNF397	ENCFF193BGB	2020-08-03	2018-12-22
ENCSR172OSX	ZBTB12	ENCFF830MTX	2020-08-03	2018-12-22
ENCSR257AFV	ZNF76	ENCFF305XQM	2020-08-03	2018-12-22
ENCSR235PYI	ZNF41	ENCFF629EAD	2020-08-03	2018-12-22
ENCSR184IQF	SHOX2	ENCFF078EPC	2020-08-03	2018-12-22
ENCSR056VYW	ZNF174	ENCFF822FXR	2020-08-03	2018-12-22
ENCSR577KQD	ZNF507	ENCFF878SVX	2020-08-03	2018-12-22
ENCSR606KTL	ZNF239	ENCFF569TJP	2020-08-03	2018-12-22
ENCSR802AHH	BCL6	ENCFF941EDY	2020-08-03	2018-12-22
ENCSR699RWG	ZNF215	ENCFF922RHM	2020-08-03	2018-12-21
ENCSR228OQM	CLOCK	ENCFF648UJW	2020-08-03	2018-12-21
ENCSR276RQG	ZNF696	ENCFF899BJR	2020-08-03	2018-12-21
ENCSR222TVA	ZNF785	ENCFF352NGK	2020-08-03	2018-12-21
ENCSR199HGP	ZKSCAN3	ENCFF697DRN	2020-08-03	2018-12-21
ENCSR388ZRV	ZNF311	ENCFF080KWE	2020-08-03	2018-12-21
